Lead Origin,Lead Source,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,Tags,Last Notable Activity
Lead Add Form,Reference,1,0.0,0,0.0,SMS Sent,Operations Management,Working Professional,Will revert after reading the email,SMS Sent
API,Google,1,7.0,958,1.75,Page Visited on Website,Unknown,Unknown,Unknown,Page Visited on Website
API,Olark Chat,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,1,3.0,1357,3.0,Email Opened,Finance Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,0,4.0,428,4.0,Email Opened,"Banking, Investment And Insurance",Unknown,Unknown,Email Opened
Landing Page Submission,Referral Sites,0,3.0,132,3.0,Email Opened,Travel and Tourism,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,0,7.0,1720,2.33,SMS Sent,"Banking, Investment And Insurance",Unemployed,Ringing,Modified
API,Olark Chat,0,0.0,0,0.0,Email Bounced,Unknown,Unemployed,Interested in other courses,Modified
Landing Page Submission,Direct Traffic,1,3.0,248,1.5,Email Opened,International Business,Unemployed,Ringing,Email Opened
API,Olark Chat,0,12.0,935,4.0,Page Visited on Website,Business Administration,Unemployed,Diploma holder (Not Eligible),Page Visited on Website
Landing Page Submission,Google,0,5.0,161,5.0,Email Opened,Operations Management,Unemployed,switched off,Email Opened
Landing Page Submission,Google,0,2.0,1095,2.0,Email Opened,Human Resource Management,Unknown,Unknown,Email Opened
API,Google,0,2.0,465,2.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,1,6.0,920,2.0,Page Visited on Website,Operations Management,Unemployed,Busy,Page Visited on Website
Landing Page Submission,Organic Search,1,3.0,191,3.0,SMS Sent,Travel and Tourism,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Direct Traffic,0,6.0,94,2.0,Email Opened,Finance Management,Unemployed,Ringing,Email Opened
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,0,5.0,15,5.0,Email Link Clicked,"Banking, Investment And Insurance",Unknown,Unknown,Email Link Clicked
Landing Page Submission,Direct Traffic,0,5.0,6,5.0,Page Visited on Website,Operations Management,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,0,15.0,69,3.0,Form Submitted on Website,Human Resource Management,Unemployed,Interested  in full time MBA,Modified
Landing Page Submission,Direct Traffic,1,7.0,1273,7.0,SMS Sent,Marketing Management,Unemployed,Busy,SMS Sent
API,Google,1,2.0,70,2.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Google,1,5.0,676,5.0,SMS Sent,Finance Management,Student,Will revert after reading the email,SMS Sent
API,Google,0,1.0,192,1.0,Converted to Lead,Unknown,Unemployed,Interested in other courses,Modified
Landing Page Submission,Google,0,9.0,890,9.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Ringing,Modified
Landing Page Submission,Direct Traffic,0,4.0,365,4.0,Email Opened,"Banking, Investment And Insurance",Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,4.0,444,4.0,Email Opened,Marketing Management,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,6.0,789,6.0,Email Opened,Business Administration,Unemployed,Ringing,Email Opened
API,Google,0,5.0,644,5.0,Email Opened,IT Projects Management,Unknown,Unknown,Modified
API,Google,1,3.0,1516,3.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Google,1,5.0,129,2.5,Form Submitted on Website,Marketing Management,Unemployed,Will revert after reading the email,Modified
Landing Page Submission,Google,1,5.0,251,5.0,SMS Sent,Finance Management,Working Professional,Will revert after reading the email,SMS Sent
Landing Page Submission,Google,0,4.0,182,4.0,Unreachable,Finance Management,Unemployed,Ringing,Modified
Landing Page Submission,Direct Traffic,0,5.0,215,5.0,Page Visited on Website,IT Projects Management,Unknown,Unknown,Modified
Landing Page Submission,Google,0,3.0,26,3.0,Page Visited on Website,Human Resource Management,Unemployed,switched off,Modified
API,Google,1,5.0,921,5.0,SMS Sent,Human Resource Management,Working Professional,Will revert after reading the email,Modified
Landing Page Submission,Direct Traffic,0,6.0,52,2.0,Email Opened,International Business,Unemployed,Ringing,Email Opened
Landing Page Submission,Google,0,8.0,242,1.6,Form Submitted on Website,Human Resource Management,Unemployed,Ringing,Modified
Landing Page Submission,Direct Traffic,1,4.0,1655,1.33,SMS Sent,Business Administration,Working Professional,Will revert after reading the email,SMS Sent
API,Google,0,1.0,255,1.0,Email Bounced,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,0,5.0,637,2.5,Email Opened,IT Projects Management,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,5.0,104,5.0,Email Opened,International Business,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,2.0,93,2.0,Form Submitted on Website,E-Business,Unemployed,Ringing,Modified
API,Google,0,2.0,41,2.0,Olark Chat Conversation,Unknown,Unknown,Interested in other courses,Modified
Landing Page Submission,Direct Traffic,0,4.0,20,4.0,Email Opened,Supply Chain Management,Unemployed,Interested in other courses,Modified
Landing Page Submission,Google,1,3.0,797,3.0,Email Opened,Marketing Management,Unemployed,in touch with EINS,Modified
Landing Page Submission,Organic Search,1,7.0,1074,3.5,SMS Sent,Operations Management,Working Professional,Will revert after reading the email,SMS Sent
Landing Page Submission,Direct Traffic,1,6.0,958,6.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Google,1,4.0,906,4.0,SMS Sent,Marketing Management,Working Professional,Will revert after reading the email,SMS Sent
Landing Page Submission,Organic Search,0,3.0,166,3.0,Converted to Lead,Retail Management,Unemployed,Busy,Modified
API,Olark Chat,1,6.0,781,2.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Email Opened
API,Google,1,4.0,343,4.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,0,4.0,231,4.0,SMS Sent,Finance Management,Unknown,Unknown,Modified
Landing Page Submission,Google,0,2.0,1017,2.0,Email Bounced,IT Projects Management,Unemployed,Ringing,Modified
API,Olark Chat,0,4.0,1723,4.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Ringing,Email Opened
Landing Page Submission,Organic Search,0,29.0,209,2.9,Page Visited on Website,Media and Advertising,Unemployed,Ringing,Modified
Landing Page Submission,Google,0,6.0,250,6.0,Email Opened,IT Projects Management,Unknown,Unknown,Email Opened
Landing Page Submission,Organic Search,0,3.0,24,3.0,Converted to Lead,Supply Chain Management,Student,Already a student,Modified
Landing Page Submission,Direct Traffic,0,2.0,403,2.0,Email Opened,Unknown,Working Professional,Already a student,Email Opened
API,Google,0,10.0,16,5.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Google,1,4.0,422,2.0,SMS Sent,Retail Management,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Organic Search,0,8.0,297,8.0,Email Opened,Healthcare Management,Unemployed,Ringing,Email Opened
API,Google,1,2.0,803,2.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Google,0,4.0,1437,4.0,Page Visited on Website,Human Resource Management,Unknown,Unknown,Modified
Landing Page Submission,Google,1,5.0,1464,5.0,SMS Sent,International Business,Unemployed,Busy,SMS Sent
API,Olark Chat,0,0.0,0,0.0,Email Bounced,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,0,2.0,954,2.0,Page Visited on Website,Business Administration,Unemployed,Busy,Modified
Landing Page Submission,Google,1,4.0,494,4.0,Email Opened,Finance Management,Working Professional,Closed by Horizzon,Email Opened
Landing Page Submission,Google,0,10.0,479,3.33,Email Opened,Operations Management,Unknown,Unknown,Email Opened
Landing Page Submission,Google,1,11.0,442,5.5,Email Opened,Finance Management,Unemployed,Closed by Horizzon,Email Opened
Landing Page Submission,welearnblog_Home,0,2.0,368,2.0,Email Opened,Marketing Management,Unknown,Unknown,Email Opened
Landing Page Submission,Google,1,5.0,183,2.5,SMS Sent,Marketing Management,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Google,1,6.0,1332,2.0,Email Opened,Supply Chain Management,Working Professional,Closed by Horizzon,Email Opened
Landing Page Submission,Google,0,2.0,589,2.0,Converted to Lead,Human Resource Management,Unemployed,Graduation in progress,Modified
Landing Page Submission,Google,0,3.0,4,3.0,Email Opened,Finance Management,Unknown,Unknown,Email Opened
Landing Page Submission,Organic Search,0,7.0,448,2.33,Email Opened,Finance Management,Unemployed,Interested  in full time MBA,Email Opened
API,Google,1,16.0,436,1.23,Email Opened,Unknown,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Direct Traffic,0,1.0,44,1.0,Converted to Lead,Business Administration,Unemployed,switched off,Modified
API,Olark Chat,1,0.0,0,0.0,SMS Sent,Unknown,Unemployed,Unknown,SMS Sent
Landing Page Submission,Direct Traffic,0,1.0,1185,1.0,Email Bounced,Human Resource Management,Unemployed,Ringing,Modified
API,Google,1,3.0,1128,3.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Direct Traffic,0,2.0,103,2.0,SMS Sent,Finance Management,Unemployed,Already a student,Modified
Landing Page Submission,Google,1,12.0,766,6.0,Email Opened,Travel and Tourism,Unemployed,Closed by Horizzon,Email Opened
Landing Page Submission,Organic Search,0,3.0,149,3.0,Email Opened,Marketing Management,Unknown,Unknown,Email Opened
API,Google,1,4.0,1811,4.0,Email Opened,Unknown,Unemployed,Will revert after reading the email,Email Opened
API,Olark Chat,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
API,Google,0,3.0,344,3.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,4.0,1093,4.0,Email Opened,Marketing Management,Unemployed,Shall take in the next coming month,Email Opened
Landing Page Submission,Google,1,5.0,1287,5.0,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,Modified
Landing Page Submission,Organic Search,0,4.0,502,4.0,Email Opened,Media and Advertising,Unemployed,Interested in other courses,Email Opened
Landing Page Submission,Google,1,2.0,1290,2.0,Converted to Lead,Marketing Management,Unemployed,Closed by Horizzon,Modified
Landing Page Submission,Organic Search,1,8.0,1355,8.0,Email Opened,Finance Management,Unemployed,Closed by Horizzon,Email Opened
Landing Page Submission,Google,0,5.0,25,5.0,Email Bounced,"Banking, Investment And Insurance",Unemployed,Ringing,Modified
Landing Page Submission,Google,0,5.0,993,5.0,Email Opened,Travel and Tourism,Unemployed,Interested in other courses,Modified
Landing Page Submission,Google,1,5.0,96,1.67,Email Opened,Finance Management,Working Professional,Will revert after reading the email,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,0,4.0,234,4.0,Page Visited on Website,Finance Management,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,0,1.0,62,1.0,Converted to Lead,Operations Management,Unemployed,Ringing,Modified
Landing Page Submission,Direct Traffic,1,6.0,1295,2.0,Email Opened,Marketing Management,Unknown,Lost to EINS,Email Opened
Landing Page Submission,Google,0,5.0,551,5.0,Unsubscribed,Human Resource Management,Unemployed,Ringing,Unsubscribed
API,Google,0,3.0,538,1.5,Email Opened,Unknown,Unemployed,Ringing,Modified
Landing Page Submission,Organic Search,1,9.0,1623,2.25,SMS Sent,Media and Advertising,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Organic Search,0,7.0,37,7.0,Page Visited on Website,Marketing Management,Unknown,Unknown,Modified
API,Olark Chat,0,1.0,241,1.0,Email Opened,Human Resource Management,Unemployed,Ringing,Email Opened
Landing Page Submission,Google,0,7.0,159,2.33,Email Opened,IT Projects Management,Unemployed,Ringing,Modified
Landing Page Submission,Google,0,13.0,112,4.33,Email Opened,Finance Management,Unknown,Unknown,Email Opened
API,Olark Chat,1,0.0,0,0.0,SMS Sent,Supply Chain Management,Unemployed,Will revert after reading the email,SMS Sent
Lead Add Form,Reference,1,0.0,0,0.0,Form Submitted on Website,Human Resource Management,Unemployed,Closed by Horizzon,Modified
Landing Page Submission,Direct Traffic,1,2.0,1119,2.0,SMS Sent,Finance Management,Working Professional,Will revert after reading the email,SMS Sent
API,Google,0,2.0,270,2.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Organic Search,0,4.0,639,4.0,SMS Sent,International Business,Unemployed,Busy,SMS Sent
API,Olark Chat,0,0.0,0,0.0,SMS Sent,Unknown,Unemployed,Interested in other courses,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Link Clicked,Marketing Management,Unemployed,Closed by Horizzon,Email Link Clicked
Landing Page Submission,Organic Search,0,7.0,52,7.0,Email Opened,Human Resource Management,Unemployed,Ringing,Email Opened
Landing Page Submission,Google,0,4.0,1161,4.0,SMS Sent,Marketing Management,Unknown,Unknown,Modified
Lead Add Form,Reference,1,0.0,1055,0.0,Email Opened,Unknown,Unemployed,Closed by Horizzon,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,Unknown,Unemployed,Closed by Horizzon,Email Opened
API,Google,1,3.0,1147,1.5,SMS Sent,Unknown,Unemployed,Ringing,Modified
Lead Add Form,Reference,1,0.0,521,0.0,Email Opened,Unknown,Unemployed,Closed by Horizzon,Modified
Lead Add Form,Reference,1,0.0,1182,0.0,Email Opened,Unknown,Unemployed,Closed by Horizzon,Modified
Landing Page Submission,Google,1,4.0,1512,4.0,SMS Sent,Retail Management,Unemployed,Will revert after reading the email,SMS Sent
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,0,2.0,442,2.0,Olark Chat Conversation,Marketing Management,Unknown,Unknown,Olark Chat Conversation
Landing Page Submission,Direct Traffic,0,2.0,597,2.0,Email Bounced,Marketing Management,Unknown,Unknown,Email Bounced
Landing Page Submission,Direct Traffic,1,6.0,273,2.0,Page Visited on Website,IT Projects Management,Unemployed,Busy,Page Visited on Website
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unemployed,Interested in other courses,Modified
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,Unknown,Unemployed,Closed by Horizzon,Email Opened
Lead Add Form,Reference,1,0.0,0,0.0,Email Opened,Human Resource Management,Working Professional,Will revert after reading the email,Email Opened
API,Google,0,2.0,350,2.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Google,1,4.0,1646,4.0,SMS Sent,Hospitality Management,Unemployed,Busy,SMS Sent
Landing Page Submission,Direct Traffic,1,7.0,1290,7.0,Email Opened,Human Resource Management,Unemployed,Closed by Horizzon,Modified
Landing Page Submission,Google,0,4.0,201,4.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Google,1,4.0,1104,4.0,SMS Sent,Operations Management,Working Professional,Will revert after reading the email,SMS Sent
Landing Page Submission,Direct Traffic,0,6.0,1073,3.0,Converted to Lead,Healthcare Management,Unknown,Unknown,Modified
API,Google,1,2.0,1331,2.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
API,Olark Chat,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Lead Add Form,Reference,0,0.0,109,0.0,Email Opened,Unknown,Unemployed,Unknown,Modified
Landing Page Submission,Organic Search,1,3.0,644,3.0,SMS Sent,Travel and Tourism,Working Professional,Will revert after reading the email,SMS Sent
API,Olark Chat,1,0.0,0,0.0,SMS Sent,Unknown,Unemployed,Unknown,SMS Sent
Landing Page Submission,Google,0,4.0,59,2.0,SMS Sent,Travel and Tourism,Unknown,Unknown,Modified
API,Google,1,2.0,1576,1.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
API,Google,0,1.0,79,1.0,Converted to Lead,Unknown,Unknown,Unknown,Modified
API,Google,0,2.0,385,1.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,4.0,217,2.0,Converted to Lead,Finance Management,Unemployed,switched off,Modified
Landing Page Submission,Google,1,14.0,17,14.0,Email Opened,Finance Management,Unknown,Lost to EINS,Modified
Landing Page Submission,Direct Traffic,0,3.0,57,3.0,Page Visited on Website,Human Resource Management,Unemployed,Already a student,Page Visited on Website
Landing Page Submission,Google,1,5.0,653,2.5,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Direct Traffic,0,3.0,20,3.0,Email Opened,IT Projects Management,Unknown,Unknown,Email Opened
API,Google,0,2.0,189,1.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
API,Google,1,6.0,1162,6.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Google,1,4.0,1344,4.0,Email Opened,Marketing Management,Unemployed,Busy,Email Opened
Landing Page Submission,Direct Traffic,0,4.0,44,4.0,Email Opened,IT Projects Management,Unknown,Unknown,Email Opened
Landing Page Submission,Google,0,3.0,690,3.0,Email Opened,Finance Management,Unemployed,Ringing,Email Opened
API,Olark Chat,1,0.0,0,0.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
Lead Add Form,Reference,1,0.0,0,0.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
Lead Add Form,Reference,1,3.0,1248,1.0,Email Opened,Human Resource Management,Student,Closed by Horizzon,Email Opened
Lead Add Form,Reference,1,0.0,0,0.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,SMS Sent
API,Direct Traffic,1,7.0,114,7.0,Email Opened,Unknown,Unemployed,Unknown,Email Opened
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unemployed,switched off,Modified
Landing Page Submission,Direct Traffic,0,2.0,212,2.0,Email Opened,Supply Chain Management,Unemployed,switched off,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Organic Search,1,4.0,362,4.0,SMS Sent,Supply Chain Management,Unemployed,Will revert after reading the email,Modified
API,Google,0,4.0,183,1.0,SMS Sent,Unknown,Unemployed,switched off,Modified
Landing Page Submission,Direct Traffic,0,3.0,898,1.5,Email Bounced,Operations Management,Unknown,Unknown,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
API,Google,0,3.0,237,3.0,Converted to Lead,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Organic Search,0,11.0,529,5.5,Email Opened,Finance Management,Unemployed,Ringing,Email Opened
Landing Page Submission,Direct Traffic,0,4.0,453,4.0,Page Visited on Website,Operations Management,Unknown,Unknown,Page Visited on Website
API,Google,1,2.0,440,2.0,Email Bounced,Unknown,Unemployed,Unknown,Email Bounced
Landing Page Submission,Google,0,4.0,12,4.0,Email Opened,Human Resource Management,Unknown,Unknown,Email Opened
Lead Add Form,Reference,1,0.0,532,0.0,Email Opened,Human Resource Management,Unemployed,Closed by Horizzon,Modified
Landing Page Submission,Google,1,4.0,222,4.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Unknown,SMS Sent
API,Olark Chat,1,16.0,1448,1.78,Page Visited on Website,E-COMMERCE,Working Professional,Will revert after reading the email,Page Visited on Website
Lead Add Form,Welingak Website,1,0.0,0,0.0,SMS Sent,Unknown,Unemployed,Unknown,SMS Sent
API,Google,0,1.0,247,1.0,Converted to Lead,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,0,8.0,546,2.67,Email Opened,Human Resource Management,Unemployed,Ringing,Email Opened
API,Google,1,5.0,1469,5.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Organic Search,0,3.0,27,3.0,Converted to Lead,Travel and Tourism,Unknown,Unknown,Modified
Lead Add Form,Reference,1,4.0,1101,1.33,Olark Chat Conversation,Finance Management,Working Professional,Closed by Horizzon,Olark Chat Conversation
Landing Page Submission,Google,1,4.0,1855,2.0,Email Opened,IT Projects Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,1,3.0,1286,3.0,SMS Sent,Finance Management,Unknown,Lost to EINS,Modified
Landing Page Submission,Direct Traffic,0,4.0,218,4.0,Email Opened,Marketing Management,Unknown,Unknown,Email Opened
API,Google,1,6.0,1232,3.0,SMS Sent,Unknown,Unknown,Unknown,SMS Sent
Landing Page Submission,Direct Traffic,1,8.0,1495,4.0,Email Opened,Operations Management,Unemployed,Closed by Horizzon,Modified
API,Google,0,2.0,1360,2.0,Email Link Clicked,Unknown,Unknown,Unknown,Email Link Clicked
Landing Page Submission,Google,0,3.0,323,3.0,Email Opened,Hospitality Management,Unknown,Unknown,Email Opened
API,Google,0,2.0,1409,2.0,Email Opened,Unknown,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,0,1.0,186,1.0,Email Bounced,Finance Management,Unemployed,Not doing further education,Modified
Landing Page Submission,Organic Search,1,7.0,257,7.0,SMS Sent,Healthcare Management,Working Professional,Will revert after reading the email,SMS Sent
API,Olark Chat,0,7.0,74,1.4,SMS Sent,E-COMMERCE,Unknown,Unknown,SMS Sent
Landing Page Submission,Direct Traffic,0,3.0,307,3.0,Email Opened,Finance Management,Unemployed,switched off,Email Opened
Landing Page Submission,Google,0,3.0,409,3.0,Form Submitted on Website,Operations Management,Unknown,Unknown,Modified
API,Olark Chat,0,3.0,361,1.5,Email Link Clicked,Supply Chain Management,Unknown,Unknown,Email Link Clicked
API,Google,0,3.0,13,3.0,Unreachable,Unknown,Unemployed,switched off,Modified
Landing Page Submission,Direct Traffic,0,6.0,1271,3.0,Email Opened,Supply Chain Management,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,1,2.0,1645,2.0,SMS Sent,Human Resource Management,Unemployed,Busy,SMS Sent
Landing Page Submission,Google,0,3.0,871,3.0,Email Opened,Marketing Management,Unemployed,Ringing,Email Opened
Landing Page Submission,Direct Traffic,0,3.0,1354,3.0,SMS Sent,Human Resource Management,Unknown,Unknown,Modified
Landing Page Submission,Google,0,4.0,44,4.0,SMS Sent,Human Resource Management,Unknown,Unknown,Modified
Landing Page Submission,Google,1,3.0,1497,3.0,Email Opened,Finance Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,1,5.0,952,5.0,SMS Sent,Operations Management,Unemployed,Lost to EINS,Modified
Landing Page Submission,Direct Traffic,0,4.0,177,4.0,SMS Sent,Marketing Management,Unemployed,Ringing,Modified
Landing Page Submission,Google,0,4.0,1221,4.0,Email Opened,Human Resource Management,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,0,2.0,397,2.0,Email Opened,Finance Management,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,1,3.0,1653,3.0,Page Visited on Website,Business Administration,Unknown,Lost to EINS,Modified
Landing Page Submission,Google,0,5.0,228,2.5,Email Opened,Finance Management,Unemployed,Ringing,Modified
API,Organic Search,1,8.0,1329,4.0,Email Opened,Healthcare Management,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Google,0,8.0,782,2.67,Email Opened,Finance Management,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,0,5.0,213,2.5,Page Visited on Website,Finance Management,Unemployed,Ringing,Page Visited on Website
API,Google,1,3.0,1528,3.0,SMS Sent,Unknown,Unemployed,Unknown,SMS Sent
Landing Page Submission,Direct Traffic,0,4.0,488,4.0,Email Opened,Media and Advertising,Unknown,Unknown,Email Opened
Landing Page Submission,Google,1,4.0,1173,4.0,Email Link Clicked,Supply Chain Management,Unknown,Unknown,Email Link Clicked
Landing Page Submission,Google,0,3.0,194,3.0,Email Opened,Travel and Tourism,Unknown,Unknown,Email Opened
Lead Add Form,Reference,1,0.0,0,0.0,SMS Sent,IT Projects Management,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Direct Traffic,1,9.0,62,2.25,Email Opened,Finance Management,Unemployed,Lost to EINS,Email Opened
Landing Page Submission,Google,1,2.0,678,2.0,SMS Sent,Hospitality Management,Unemployed,Will revert after reading the email,SMS Sent
Lead Add Form,Reference,1,0.0,0,0.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
Landing Page Submission,Direct Traffic,0,2.0,83,2.0,Unsubscribed,Operations Management,Unknown,Interested in other courses,Modified
API,Google,1,3.0,1373,1.0,Email Opened,Unknown,Unemployed,Unknown,Email Opened
Landing Page Submission,Google,0,3.0,49,3.0,Email Opened,Rural and Agribusiness,Unemployed,Ringing,Email Opened
API,Google,0,2.0,1553,1.0,Olark Chat Conversation,Unknown,Unemployed,Interested in other courses,Modified
Landing Page Submission,Google,0,5.0,19,2.5,Email Opened,Human Resource Management,Unknown,Unknown,Email Opened
Lead Add Form,Google,1,0.0,0,0.0,SMS Sent,Operations Management,Student,Will revert after reading the email,SMS Sent
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unemployed,Interested in other courses,Modified
API,Google,0,2.0,139,2.0,Converted to Lead,Unknown,Unemployed,Graduation in progress,Modified
Lead Add Form,Reference,1,0.0,0,0.0,SMS Sent,Unknown,Unemployed,Will revert after reading the email,SMS Sent
Lead Add Form,Reference,1,0.0,1995,0.0,Email Opened,Unknown,Unemployed,Will revert after reading the email,Modified
Lead Add Form,Reference,1,0.0,0,0.0,SMS Sent,Unknown,Unemployed,Lateral student,SMS Sent
Lead Add Form,Reference,1,1.0,1247,1.0,Email Link Clicked,Unknown,Unemployed,Lost to EINS,Modified
Landing Page Submission,Google,0,5.0,1049,5.0,SMS Sent,Marketing Management,Unknown,Unknown,SMS Sent
API,Google,0,2.0,234,2.0,SMS Sent,Unknown,Unemployed,Interested in other courses,Modified
Landing Page Submission,Direct Traffic,0,2.0,450,2.0,SMS Sent,Finance Management,Unemployed,Ringing,Modified
API,Google,0,2.0,64,1.0,Page Visited on Website,Unknown,Unknown,Unknown,Modified
API,Google,0,2.0,1048,2.0,SMS Sent,Unknown,Unemployed,Ringing,SMS Sent
Landing Page Submission,Google,0,8.0,18,2.0,Email Opened,Finance Management,Unknown,Unknown,Email Opened
Landing Page Submission,Direct Traffic,0,2.0,1492,2.0,Email Opened,Rural and Agribusiness,Unemployed,Interested in other courses,Email Opened
Lead Add Form,Reference,1,0.0,0,0.0,SMS Sent,Healthcare Management,Unemployed,Will revert after reading the email,SMS Sent
API,Google,0,2.0,312,2.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,1,4.0,906,4.0,SMS Sent,Finance Management,Student,Will revert after reading the email,SMS Sent
Landing Page Submission,Direct Traffic,0,4.0,1095,4.0,SMS Sent,Marketing Management,Unknown,Unknown,SMS Sent
API,Google,0,2.0,1283,1.0,Email Opened,Unknown,Unemployed,Ringing,Email Opened
Landing Page Submission,Google,0,4.0,400,4.0,Email Opened,Marketing Management,Unknown,Unknown,Email Opened
API,Google,0,2.0,130,1.0,SMS Sent,Unknown,Unemployed,Diploma holder (Not Eligible),Modified
API,Organic Search,1,4.0,266,2.0,SMS Sent,Unknown,Unemployed,Unknown,SMS Sent
API,Organic Search,0,8.0,58,2.67,Email Opened,Unknown,Unemployed,Interested in other courses,Modified
Landing Page Submission,Google,1,6.0,1234,2.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Email Opened
API,Olark Chat,1,0.0,0,0.0,Email Opened,Unknown,Unemployed,Unknown,Email Opened
API,Google,0,2.0,507,1.0,Email Opened,Marketing Management,Unemployed,Not doing further education,Modified
API,Organic Search,0,2.0,274,2.0,Email Bounced,Unknown,Unknown,Unknown,Modified
